Area,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Indonesia,Cassava,120691,2702,2432,25.37
Indonesia,Cassava,120691,2702,2432,27.05
Indonesia,Cassava,120691,2702,2432,27.11
Indonesia,Cassava,120691,2702,2432,27.18
Indonesia,Cassava,120691,2702,2432,26.79
Indonesia,Cassava,120691,2702,2432,27.47
Indonesia,Maize,21323,2702,2432,25.37
Indonesia,Maize,21323,2702,2432,27.05
Indonesia,Maize,21323,2702,2432,27.11
Indonesia,Maize,21323,2702,2432,27.18
Indonesia,Maize,21323,2702,2432,26.79
Indonesia,Maize,21323,2702,2432,27.47
Indonesia,Potatoes,141637,2702,2432,25.37
Indonesia,Potatoes,141637,2702,2432,27.05
Indonesia,Potatoes,141637,2702,2432,27.11
Indonesia,Potatoes,141637,2702,2432,27.18
Indonesia,Potatoes,141637,2702,2432,26.79
Indonesia,Potatoes,141637,2702,2432,27.47
Indonesia,"Rice, paddy",43018,2702,2432,25.37
Indonesia,"Rice, paddy",43018,2702,2432,27.05
Indonesia,"Rice, paddy",43018,2702,2432,27.11
Indonesia,"Rice, paddy",43018,2702,2432,27.18
Indonesia,"Rice, paddy",43018,2702,2432,26.79
Indonesia,"Rice, paddy",43018,2702,2432,27.47
Indonesia,Soybeans,11149,2702,2432,25.37
Indonesia,Soybeans,11149,2702,2432,27.05
Indonesia,Soybeans,11149,2702,2432,27.11
Indonesia,Soybeans,11149,2702,2432,27.18
Indonesia,Soybeans,11149,2702,2432,26.79
Indonesia,Soybeans,11149,2702,2432,27.47
Indonesia,Sweet potatoes,94450,2702,2432,25.37
Indonesia,Sweet potatoes,94450,2702,2432,27.05
Indonesia,Sweet potatoes,94450,2702,2432,27.11
Indonesia,Sweet potatoes,94450,2702,2432,27.18
Indonesia,Sweet potatoes,94450,2702,2432,26.79
Indonesia,Sweet potatoes,94450,2702,2432,27.47
Indonesia,Cassava,120946,2702,3259,25.27
Indonesia,Cassava,120946,2702,3259,27.04
Indonesia,Cassava,120946,2702,3259,26.92
Indonesia,Cassava,120946,2702,3259,27.05
Indonesia,Cassava,120946,2702,3259,26.61
Indonesia,Cassava,120946,2702,3259,27.21
Indonesia,Maize,21505,2702,3259,25.27
Indonesia,Maize,21505,2702,3259,27.04
Indonesia,Maize,21505,2702,3259,26.92
Indonesia,Maize,21505,2702,3259,27.05
Indonesia,Maize,21505,2702,3259,26.61
Indonesia,Maize,21505,2702,3259,27.21
Indonesia,Potatoes,132721,2702,3259,25.27
Indonesia,Potatoes,132721,2702,3259,27.04
Indonesia,Potatoes,132721,2702,3259,26.92
Indonesia,Potatoes,132721,2702,3259,27.05
Indonesia,Potatoes,132721,2702,3259,26.61
Indonesia,Potatoes,132721,2702,3259,27.21
Indonesia,"Rice, paddy",43465,2702,3259,25.27
Indonesia,"Rice, paddy",43465,2702,3259,27.04
Indonesia,"Rice, paddy",43465,2702,3259,26.92
Indonesia,"Rice, paddy",43465,2702,3259,27.05
Indonesia,"Rice, paddy",43465,2702,3259,26.61
Indonesia,"Rice, paddy",43465,2702,3259,27.21
Indonesia,Soybeans,11369,2702,3259,25.27
Indonesia,Soybeans,11369,2702,3259,27.04
Indonesia,Soybeans,11369,2702,3259,26.92
Indonesia,Soybeans,11369,2702,3259,27.05
Indonesia,Soybeans,11369,2702,3259,26.61
Indonesia,Soybeans,11369,2702,3259,27.21
Indonesia,Sweet potatoes,95150,2702,3259,25.27
Indonesia,Sweet potatoes,95150,2702,3259,27.04
Indonesia,Sweet potatoes,95150,2702,3259,26.92
Indonesia,Sweet potatoes,95150,2702,3259,27.05
Indonesia,Sweet potatoes,95150,2702,3259,26.61
Indonesia,Sweet potatoes,95150,2702,3259,27.21
Indonesia,Cassava,122220,2702,825,25.17
Indonesia,Cassava,122220,2702,825,26.96
Indonesia,Cassava,122220,2702,825,27.01
Indonesia,Cassava,122220,2702,825,27.2
Indonesia,Cassava,122220,2702,825,26.72
Indonesia,Cassava,122220,2702,825,27.4
Indonesia,Maize,22030,2702,825,25.17
Indonesia,Maize,22030,2702,825,26.96
Indonesia,Maize,22030,2702,825,27.01
Indonesia,Maize,22030,2702,825,27.2
Indonesia,Maize,22030,2702,825,26.72
Indonesia,Maize,22030,2702,825,27.4
Indonesia,Potatoes,143819,2702,825,25.17
Indonesia,Potatoes,143819,2702,825,26.96
Indonesia,Potatoes,143819,2702,825,27.01
Indonesia,Potatoes,143819,2702,825,27.2
Indonesia,Potatoes,143819,2702,825,26.72
Indonesia,Potatoes,143819,2702,825,27.4
Indonesia,"Rice, paddy",43446,2702,825,25.17
Indonesia,"Rice, paddy",43446,2702,825,26.96
Indonesia,"Rice, paddy",43446,2702,825,27.01
Indonesia,"Rice, paddy",43446,2702,825,27.2
Indonesia,"Rice, paddy",43446,2702,825,26.72
Indonesia,"Rice, paddy",43446,2702,825,27.4
Indonesia,Soybeans,11230,2702,825,25.17
Indonesia,Soybeans,11230,2702,825,26.96
Indonesia,Soybeans,11230,2702,825,27.01
Indonesia,Soybeans,11230,2702,825,27.2
Indonesia,Soybeans,11230,2702,825,26.72
Indonesia,Soybeans,11230,2702,825,27.4
Indonesia,Sweet potatoes,94481,2702,825,25.17
Indonesia,Sweet potatoes,94481,2702,825,26.96
Indonesia,Sweet potatoes,94481,2702,825,27.01
Indonesia,Sweet potatoes,94481,2702,825,27.2
Indonesia,Sweet potatoes,94481,2702,825,26.72
Indonesia,Sweet potatoes,94481,2702,825,27.4
Indonesia,Cassava,123323,2702,1597,25.46
Indonesia,Cassava,123323,2702,1597,27.04
Indonesia,Cassava,123323,2702,1597,26.9
Indonesia,Cassava,123323,2702,1597,27.21
Indonesia,Cassava,123323,2702,1597,26.88
Indonesia,Cassava,123323,2702,1597,27.51
Indonesia,Maize,21975,2702,1597,25.46
Indonesia,Maize,21975,2702,1597,27.04
Indonesia,Maize,21975,2702,1597,26.9
Indonesia,Maize,21975,2702,1597,27.21
Indonesia,Maize,21975,2702,1597,26.88
Indonesia,Maize,21975,2702,1597,27.51
Indonesia,Potatoes,158338,2702,1597,25.46
Indonesia,Potatoes,158338,2702,1597,27.04
Indonesia,Potatoes,158338,2702,1597,26.9
Indonesia,Potatoes,158338,2702,1597,27.21
Indonesia,Potatoes,158338,2702,1597,26.88
Indonesia,Potatoes,158338,2702,1597,27.51
Indonesia,"Rice, paddy",43750,2702,1597,25.46
Indonesia,"Rice, paddy",43750,2702,1597,27.04
Indonesia,"Rice, paddy",43750,2702,1597,26.9
Indonesia,"Rice, paddy",43750,2702,1597,27.21
Indonesia,"Rice, paddy",43750,2702,1597,26.88
Indonesia,"Rice, paddy",43750,2702,1597,27.51
Indonesia,Soybeans,11621,2702,1597,25.46
Indonesia,Soybeans,11621,2702,1597,27.04
Indonesia,Soybeans,11621,2702,1597,26.9
Indonesia,Soybeans,11621,2702,1597,27.21
Indonesia,Soybeans,11621,2702,1597,26.88
Indonesia,Soybeans,11621,2702,1597,27.51
Indonesia,Sweet potatoes,93183,2702,1597,25.46
Indonesia,Sweet potatoes,93183,2702,1597,27.04
Indonesia,Sweet potatoes,93183,2702,1597,26.9
Indonesia,Sweet potatoes,93183,2702,1597,27.21
Indonesia,Sweet potatoes,93183,2702,1597,26.88
Indonesia,Sweet potatoes,93183,2702,1597,27.51
Indonesia,Cassava,115946,2702,1597,25.21
Indonesia,Cassava,115946,2702,1597,27.12
Indonesia,Cassava,115946,2702,1597,26.97
Indonesia,Cassava,115946,2702,1597,27.34
Indonesia,Cassava,115946,2702,1597,26.56
Indonesia,Cassava,115946,2702,1597,27.18
Indonesia,Maize,22091,2702,1597,25.21
Indonesia,Maize,22091,2702,1597,27.12
Indonesia,Maize,22091,2702,1597,26.97
Indonesia,Maize,22091,2702,1597,27.34
Indonesia,Maize,22091,2702,1597,26.56
Indonesia,Maize,22091,2702,1597,27.18
Indonesia,Potatoes,156474,2702,1597,25.21
Indonesia,Potatoes,156474,2702,1597,27.12
Indonesia,Potatoes,156474,2702,1597,26.97
Indonesia,Potatoes,156474,2702,1597,27.34
Indonesia,Potatoes,156474,2702,1597,26.56
Indonesia,Potatoes,156474,2702,1597,27.18
Indonesia,"Rice, paddy",43453,2702,1597,25.21
Indonesia,"Rice, paddy",43453,2702,1597,27.12
Indonesia,"Rice, paddy",43453,2702,1597,26.97
Indonesia,"Rice, paddy",43453,2702,1597,27.34
Indonesia,"Rice, paddy",43453,2702,1597,26.56
Indonesia,"Rice, paddy",43453,2702,1597,27.18
Indonesia,Soybeans,11123,2702,1597,25.21
Indonesia,Soybeans,11123,2702,1597,27.12
Indonesia,Soybeans,11123,2702,1597,26.97
Indonesia,Soybeans,11123,2702,1597,27.34
Indonesia,Soybeans,11123,2702,1597,26.56
Indonesia,Soybeans,11123,2702,1597,27.18
Indonesia,Sweet potatoes,93583,2702,1597,25.21
Indonesia,Sweet potatoes,93583,2702,1597,27.12
Indonesia,Sweet potatoes,93583,2702,1597,26.97
Indonesia,Sweet potatoes,93583,2702,1597,27.34
Indonesia,Sweet potatoes,93583,2702,1597,26.56
Indonesia,Sweet potatoes,93583,2702,1597,27.18
Indonesia,Cassava,116605,2702,1597,25.46
Indonesia,Cassava,116605,2702,1597,27.15
Indonesia,Cassava,116605,2702,1597,27.08
Indonesia,Cassava,116605,2702,1597,27.28
Indonesia,Cassava,116605,2702,1597,26.74
Indonesia,Cassava,116605,2702,1597,27.32
Indonesia,Maize,22580,2702,1597,25.46
Indonesia,Maize,22580,2702,1597,27.15
Indonesia,Maize,22580,2702,1597,27.08
Indonesia,Maize,22580,2702,1597,27.28
Indonesia,Maize,22580,2702,1597,26.74
Indonesia,Maize,22580,2702,1597,27.32
Indonesia,Potatoes,165939,2702,1597,25.46
Indonesia,Potatoes,165939,2702,1597,27.15
Indonesia,Potatoes,165939,2702,1597,27.08
Indonesia,Potatoes,165939,2702,1597,27.28
Indonesia,Potatoes,165939,2702,1597,26.74
Indonesia,Potatoes,165939,2702,1597,27.32
Indonesia,"Rice, paddy",43487,2702,1597,25.46
Indonesia,"Rice, paddy",43487,2702,1597,27.15
Indonesia,"Rice, paddy",43487,2702,1597,27.08
Indonesia,"Rice, paddy",43487,2702,1597,27.28
Indonesia,"Rice, paddy",43487,2702,1597,26.74
Indonesia,"Rice, paddy",43487,2702,1597,27.32
Indonesia,Soybeans,11371,2702,1597,25.46
Indonesia,Soybeans,11371,2702,1597,27.15
Indonesia,Soybeans,11371,2702,1597,27.08
Indonesia,Soybeans,11371,2702,1597,27.28
Indonesia,Soybeans,11371,2702,1597,26.74
Indonesia,Soybeans,11371,2702,1597,27.32
Indonesia,Sweet potatoes,94939,2702,1597,25.46
Indonesia,Sweet potatoes,94939,2702,1597,27.15
Indonesia,Sweet potatoes,94939,2702,1597,27.08
Indonesia,Sweet potatoes,94939,2702,1597,27.28
Indonesia,Sweet potatoes,94939,2702,1597,26.74
Indonesia,Sweet potatoes,94939,2702,1597,27.32
Indonesia,Cassava,120150,2702,1597,25.41
Indonesia,Cassava,120150,2702,1597,27.07
Indonesia,Cassava,120150,2702,1597,27
Indonesia,Cassava,120150,2702,1597,27.2
Indonesia,Cassava,120150,2702,1597,26.83
Indonesia,Cassava,120150,2702,1597,27.53
Indonesia,Maize,24862,2702,1597,25.41
Indonesia,Maize,24862,2702,1597,27.07
Indonesia,Maize,24862,2702,1597,27
Indonesia,Maize,24862,2702,1597,27.2
Indonesia,Maize,24862,2702,1597,26.83
Indonesia,Maize,24862,2702,1597,27.53
Indonesia,Potatoes,158631,2702,1597,25.41
Indonesia,Potatoes,158631,2702,1597,27.07
Indonesia,Potatoes,158631,2702,1597,27
Indonesia,Potatoes,158631,2702,1597,27.2
Indonesia,Potatoes,158631,2702,1597,26.83
Indonesia,Potatoes,158631,2702,1597,27.53
Indonesia,"Rice, paddy",44168,2702,1597,25.41
Indonesia,"Rice, paddy",44168,2702,1597,27.07
Indonesia,"Rice, paddy",44168,2702,1597,27
Indonesia,"Rice, paddy",44168,2702,1597,27.2
Indonesia,"Rice, paddy",44168,2702,1597,26.83
Indonesia,"Rice, paddy",44168,2702,1597,27.53
Indonesia,Soybeans,11915,2702,1597,25.41
Indonesia,Soybeans,11915,2702,1597,27.07
Indonesia,Soybeans,11915,2702,1597,27
Indonesia,Soybeans,11915,2702,1597,27.2
Indonesia,Soybeans,11915,2702,1597,26.83
Indonesia,Soybeans,11915,2702,1597,27.53
Indonesia,Sweet potatoes,113547,2702,1597,25.41
Indonesia,Sweet potatoes,113547,2702,1597,27.07
Indonesia,Sweet potatoes,113547,2702,1597,27
Indonesia,Sweet potatoes,113547,2702,1597,27.2
Indonesia,Sweet potatoes,113547,2702,1597,26.83
Indonesia,Sweet potatoes,113547,2702,1597,27.53
Indonesia,Cassava,121718,2702,1597,25.52
Indonesia,Cassava,121718,2702,1597,27.37
Indonesia,Cassava,121718,2702,1597,27.26
Indonesia,Cassava,121718,2702,1597,27.62
Indonesia,Cassava,121718,2702,1597,26.83
Indonesia,Cassava,121718,2702,1597,27.46
Indonesia,Maize,26141,2702,1597,25.52
Indonesia,Maize,26141,2702,1597,27.37
Indonesia,Maize,26141,2702,1597,27.26
Indonesia,Maize,26141,2702,1597,27.62
Indonesia,Maize,26141,2702,1597,26.83
Indonesia,Maize,26141,2702,1597,27.46
Indonesia,Potatoes,162061,2702,1597,25.52
Indonesia,Potatoes,162061,2702,1597,27.37
Indonesia,Potatoes,162061,2702,1597,27.26
Indonesia,Potatoes,162061,2702,1597,27.62
Indonesia,Potatoes,162061,2702,1597,26.83
Indonesia,Potatoes,162061,2702,1597,27.46
Indonesia,"Rice, paddy",44322,2702,1597,25.52
Indonesia,"Rice, paddy",44322,2702,1597,27.37
Indonesia,"Rice, paddy",44322,2702,1597,27.26
Indonesia,"Rice, paddy",44322,2702,1597,27.62
Indonesia,"Rice, paddy",44322,2702,1597,26.83
Indonesia,"Rice, paddy",44322,2702,1597,27.46
Indonesia,Soybeans,12125,2702,1597,25.52
Indonesia,Soybeans,12125,2702,1597,27.37
Indonesia,Soybeans,12125,2702,1597,27.26
Indonesia,Soybeans,12125,2702,1597,27.62
Indonesia,Soybeans,12125,2702,1597,26.83
Indonesia,Soybeans,12125,2702,1597,27.46
Indonesia,Sweet potatoes,94532,2702,1597,25.52
Indonesia,Sweet potatoes,94532,2702,1597,27.37
Indonesia,Sweet potatoes,94532,2702,1597,27.26
Indonesia,Sweet potatoes,94532,2702,1597,27.62
Indonesia,Sweet potatoes,94532,2702,1597,26.83
Indonesia,Sweet potatoes,94532,2702,1597,27.46
Indonesia,Cassava,121925,2702,1597,25.81
Indonesia,Cassava,121925,2702,1597,27.58
Indonesia,Cassava,121925,2702,1597,27.72
Indonesia,Cassava,121925,2702,1597,27.77
Indonesia,Cassava,121925,2702,1597,27.28
Indonesia,Cassava,121925,2702,1597,27.9
Indonesia,Maize,26526,2702,1597,25.81
Indonesia,Maize,26526,2702,1597,27.58
Indonesia,Maize,26526,2702,1597,27.72
Indonesia,Maize,26526,2702,1597,27.77
Indonesia,Maize,26526,2702,1597,27.28
Indonesia,Maize,26526,2702,1597,27.9
Indonesia,Potatoes,153432,2702,1597,25.81
Indonesia,Potatoes,153432,2702,1597,27.58
Indonesia,Potatoes,153432,2702,1597,27.72
Indonesia,Potatoes,153432,2702,1597,27.77
Indonesia,Potatoes,153432,2702,1597,27.28
Indonesia,Potatoes,153432,2702,1597,27.9
Indonesia,"Rice, paddy",41974,2702,1597,25.81
Indonesia,"Rice, paddy",41974,2702,1597,27.58
Indonesia,"Rice, paddy",41974,2702,1597,27.72
Indonesia,"Rice, paddy",41974,2702,1597,27.77
Indonesia,"Rice, paddy",41974,2702,1597,27.28
Indonesia,"Rice, paddy",41974,2702,1597,27.9
Indonesia,Soybeans,11923,2702,1597,25.81
Indonesia,Soybeans,11923,2702,1597,27.58
Indonesia,Soybeans,11923,2702,1597,27.72
Indonesia,Soybeans,11923,2702,1597,27.77
Indonesia,Soybeans,11923,2702,1597,27.28
Indonesia,Soybeans,11923,2702,1597,27.9
Indonesia,Sweet potatoes,95750,2702,1597,25.81
Indonesia,Sweet potatoes,95750,2702,1597,27.58
Indonesia,Sweet potatoes,95750,2702,1597,27.72
Indonesia,Sweet potatoes,95750,2702,1597,27.77
Indonesia,Sweet potatoes,95750,2702,1597,27.28
Indonesia,Sweet potatoes,95750,2702,1597,27.9
Indonesia,Cassava,121763,2702,1597,25.26
Indonesia,Cassava,121763,2702,1597,27.01
Indonesia,Cassava,121763,2702,1597,26.82
Indonesia,Cassava,121763,2702,1597,27.17
Indonesia,Cassava,121763,2702,1597,26.62
Indonesia,Cassava,121763,2702,1597,27.32
Indonesia,Maize,26629,2702,1597,25.26
Indonesia,Maize,26629,2702,1597,27.01
Indonesia,Maize,26629,2702,1597,26.82
Indonesia,Maize,26629,2702,1597,27.17
Indonesia,Maize,26629,2702,1597,26.62
Indonesia,Maize,26629,2702,1597,27.32
Indonesia,Potatoes,147199,2702,1597,25.26
Indonesia,Potatoes,147199,2702,1597,27.01
Indonesia,Potatoes,147199,2702,1597,26.82
Indonesia,Potatoes,147199,2702,1597,27.17
Indonesia,Potatoes,147199,2702,1597,26.62
Indonesia,Potatoes,147199,2702,1597,27.32
Indonesia,"Rice, paddy",42519,2702,1597,25.26
Indonesia,"Rice, paddy",42519,2702,1597,27.01
Indonesia,"Rice, paddy",42519,2702,1597,26.82
Indonesia,"Rice, paddy",42519,2702,1597,27.17
Indonesia,"Rice, paddy",42519,2702,1597,26.62
Indonesia,"Rice, paddy",42519,2702,1597,27.32
Indonesia,Soybeans,12013,2702,1597,25.26
Indonesia,Soybeans,12013,2702,1597,27.01
Indonesia,Soybeans,12013,2702,1597,26.82
Indonesia,Soybeans,12013,2702,1597,27.17
Indonesia,Soybeans,12013,2702,1597,26.62
Indonesia,Soybeans,12013,2702,1597,27.32
Indonesia,Sweet potatoes,96698,2702,1597,25.26
Indonesia,Sweet potatoes,96698,2702,1597,27.01
Indonesia,Sweet potatoes,96698,2702,1597,26.82
Indonesia,Sweet potatoes,96698,2702,1597,27.17
Indonesia,Sweet potatoes,96698,2702,1597,26.62
Indonesia,Sweet potatoes,96698,2702,1597,27.32
Indonesia,Cassava,125305,2702,1597,25.46
Indonesia,Cassava,125305,2702,1597,27.2
Indonesia,Cassava,125305,2702,1597,27.1
Indonesia,Cassava,125305,2702,1597,27.23
Indonesia,Cassava,125305,2702,1597,26.77
Indonesia,Cassava,125305,2702,1597,27.44
Indonesia,Maize,27649,2702,1597,25.46
Indonesia,Maize,27649,2702,1597,27.2
Indonesia,Maize,27649,2702,1597,27.1
Indonesia,Maize,27649,2702,1597,27.23
Indonesia,Maize,27649,2702,1597,26.77
Indonesia,Maize,27649,2702,1597,27.44
Indonesia,Potatoes,133759,2702,1597,25.46
Indonesia,Potatoes,133759,2702,1597,27.2
Indonesia,Potatoes,133759,2702,1597,27.1
Indonesia,Potatoes,133759,2702,1597,27.23
Indonesia,Potatoes,133759,2702,1597,26.77
Indonesia,Potatoes,133759,2702,1597,27.44
Indonesia,"Rice, paddy",44007,2702,1597,25.46
Indonesia,"Rice, paddy",44007,2702,1597,27.2
Indonesia,"Rice, paddy",44007,2702,1597,27.1
Indonesia,"Rice, paddy",44007,2702,1597,27.23
Indonesia,"Rice, paddy",44007,2702,1597,26.77
Indonesia,"Rice, paddy",44007,2702,1597,27.44
Indonesia,Soybeans,12335,2702,1597,25.46
Indonesia,Soybeans,12335,2702,1597,27.2
Indonesia,Soybeans,12335,2702,1597,27.1
Indonesia,Soybeans,12335,2702,1597,27.23
Indonesia,Soybeans,12335,2702,1597,26.77
Indonesia,Soybeans,12335,2702,1597,27.44
Indonesia,Sweet potatoes,94211,2702,1597,25.46
Indonesia,Sweet potatoes,94211,2702,1597,27.2
Indonesia,Sweet potatoes,94211,2702,1597,27.1
Indonesia,Sweet potatoes,94211,2702,1597,27.23
Indonesia,Sweet potatoes,94211,2702,1597,26.77
Indonesia,Sweet potatoes,94211,2702,1597,27.44
Indonesia,Cassava,129407,2702,1597,25.43
Indonesia,Cassava,129407,2702,1597,27.13
Indonesia,Cassava,129407,2702,1597,27.26
Indonesia,Cassava,129407,2702,1597,27.32
Indonesia,Cassava,129407,2702,1597,26.81
Indonesia,Cassava,129407,2702,1597,27.52
Indonesia,Maize,28446,2702,1597,25.43
Indonesia,Maize,28446,2702,1597,27.13
Indonesia,Maize,28446,2702,1597,27.26
Indonesia,Maize,28446,2702,1597,27.32
Indonesia,Maize,28446,2702,1597,26.81
Indonesia,Maize,28446,2702,1597,27.52
Indonesia,Potatoes,148495,2702,1597,25.43
Indonesia,Potatoes,148495,2702,1597,27.13
Indonesia,Potatoes,148495,2702,1597,27.26
Indonesia,Potatoes,148495,2702,1597,27.32
Indonesia,Potatoes,148495,2702,1597,26.81
Indonesia,Potatoes,148495,2702,1597,27.52
Indonesia,"Rice, paddy",43879,2702,1597,25.43
